,mbta_part_number,description,mfg,mfg_itm_id
2428,02049351,"WASHER- 1/4"" FLAT 180K PSI MIN (HI STRENGTH) 250 P/BOX",INTERSTATE,LA0082
2429,02049351,"WASHER- 1/4"" FLAT 180K PSI MIN (HI STRENGTH) 250 P/BOX",INTERSTATE,LA11536
2430,02049351,"WASHER- 1/4"" FLAT 180K PSI MIN (HI STRENGTH) 250 P/BOX",PREMIER,26805
2431,02049351,"WASHER- 1/4"" FLAT 180K PSI MIN (HI STRENGTH) 250 P/BOX",PREMIER FA,1/4
2432,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,ALBECO,LA0480
2433,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,ALBECO,LA0480
2434,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,INTERSTATE,LA11536
2435,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,INTERSTATE,LA11536
2436,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER,41557
2437,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER,41557
2438,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER FA,5/8-11 X 1-1/2
2439,02049352,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER FA,5/8-11 X 1-1/2
2440,02049353,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,INTERSTATE,LA11536
2441,02049353,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER FA,5/8-11 X 2
2442,02049354,"SCREW - HX HD CAP 1/2-13 X 1"" TENSILE 180K PSI MIN 100 P/PKG",ALBECO,LA0480
2443,02049354,"SCREW - HX HD CAP 1/2-13 X 1"" TENSILE 180K PSI MIN 100 P/PKG",INTERSTATE,LA11536
2444,02049354,"SCREW - HX HD CAP 1/2-13 X 1"" TENSILE 180K PSI MIN 100 P/PKG",PREMIER,41505
2445,02049354,"SCREW - HX HD CAP 1/2-13 X 1"" TENSILE 180K PSI MIN 100 P/PKG",PREMIER FA,1/2 -13 X 1
2446,02049355,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,ALBECO,LA0480
2447,02049355,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,INTERSTATE,LA11536
2448,02049355,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER FA,5/8-11 X 2-1/4
2449,02049356,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,INTERSTATE,LA11536
2450,02049356,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER FA,1/2-13 X 1-3/4
2451,02049357,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,41453,PREMIER
2452,02049357,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,ALBECO,LA0480
2453,02049357,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,INTERSTATE,LA11536
2454,02049357,SCREW - HX HD CAP TENSILE 180K PSI MIN 100 P/PKG,PREMIER FA,3/8-16 X 3/4
2455,02049358,"WASHER-FLAT HIGH STRENGTH USS 5/16"" 180K 100P/BOX",ALBECO,LA0082
2456,02049358,"WASHER-FLAT HIGH STRENGTH USS 5/16"" 180K 100P/BOX",INTERSTATE,LA11536
2457,02049358,"WASHER-FLAT HIGH STRENGTH USS 5/16"" 180K 100P/BOX",PREMIER,26810
2458,02049358,"WASHER-FLAT HIGH STRENGTH USS 5/16"" 180K 100P/BOX",PREMIER FA,5/16
2459,02049359,WASHER-LOCK-REG HELICAL 1/4 Z-PLT 1000/BOX,BOWMAN,LA11536
2460,02049359,WASHER-LOCK-REG HELICAL 1/4 Z-PLT 1000/BOX,INTERSTATE,LA0082
2461,02049359,WASHER-LOCK-REG HELICAL 1/4 Z-PLT 1000/BOX,PREMIER,43680
2462,02049359,WASHER-LOCK-REG HELICAL 1/4 Z-PLT 1000/BOX,PREMIER FA,1/4
2463,02049360,SCREW - USE 020-49- 362,PREMIER FA,5/16-18 X 3/4 LG
2464,02049361,CAP SCREW - USE 020 -49-363,PREMIER FA,1/2 - 13 X 2 1/4 LG
2465,02049363,SCREW - HX HD CAP TENSILE 180K PSI MIN 50 P/PKG,INTERSTATE,LA11536
2466,02049363,SCREW - HX HD CAP TENSILE 180K PSI MIN 50 P/PKG,PREMIER FA,1/2-13 X2-1/4
2467,02049370,WASHER-G#8 PLAIN TYP E-A Z-PLT 1/4 100P/BOX,ATLANTIC F,4Z0514
2468,02049371,WASHER-G#8 PLAIN TYP E-A Z-PLT 5/16 100P/BOX,ATLANTIC F,4Z05516
2469,02049372,WASHER-G#5 PLAIN TYPE A Z-PLT 3/8 100P/BOX,ATLANTIC F,4Z0538
2470,02049373,"WASHER-G#8 PLAIN TYPE A 7/16"" Z-PLT WIDE/USS 100/BOX",ATLANTIC F,4Z05716
2471,02049374,"WASHER-G#8 PLAIN TYPE A 1/2"" WIDE/USS ZINC PLT 100/BOX",ATLANTIC F,4Z0512
2472,02049375,WASHER-G#8 PLAIN TYP E-A Z-PLT 9/16 100P/BOX,ATLANTIC F,4Z05916
2473,02049376,"WASHER-G#8 PLAIN TYPE A 5/8"" WIDE/USS Z-PLT 100P/BOX",ATLANTIC F,4Z0558
2474,02049377,"WASHER-PLAIN TYPE A 3/4"" WIDE G#8 Z-PLT 100/BOX",ATLANTIC F,4Z0578
2475,02049378,WASHER-G#8 PLAIN TYP E-A Z-PLT 7/8 100P/BOX,ATLANTIC F,4Z0534
2476,02049379,WASHER-G#8 PLAIN TYP E-A Z-PLT 1 100P/BOX,ATLANTIC F,4Z051
2477,02049400,BOLT-HX CAP Z/PLT G# 5 5/16-18 X 3/4 100/BOX,ARNOLD IND,LA0222
2478,02049400,BOLT-HX CAP Z/PLT G# 5 5/16-18 X 3/4 100/BOX,GENERIC,LA11536
2479,02049400,BOLT-HX CAP Z/PLT G# 5 5/16-18 X 3/4 100/BOX,NE BOLT DI,5/16-18 X 3/4
2480,02049401,BOLT HX CAP Z-PLT G#5 5/8-11 X 2-1/2 50/BOX,GENERIC,LA11536
2481,02049401,BOLT HX CAP Z-PLT G#5 5/8-11 X 2-1/2 50/BOX,NE BOLT DI,5/8-11 X 2 1/2
2482,02049402,"BOLT-HEX HD 1/2-13X1"" GR#5 ZINC PLTD 50/BOX",NE BOLT DI,1/2-13 X1
2483,02049403,BOLT-HX CAP Z-PLT G# 5 3/8-16 X 3/4 100/BOX,ARNOLD IND,LA0222
2484,02049403,BOLT-HX CAP Z-PLT G# 5 3/8-16 X 3/4 100/BOX,GENERIC,LA11536
2485,02049403,BOLT-HX CAP Z-PLT G# 5 3/8-16 X 3/4 100/BOX,NE BOLT DI,3/8-16 X 3/4
2486,02049404,BOLT HX CAP G#8 3/8- 16 X 1 100/BX,FRAN DAN,LA11536
2487,02049404,BOLT HX CAP G#8 3/8- 16 X 1 100/BX,NE BOLT DI,3/8-16 X 1
2488,02049405,BOLT-G#5-DO NOT REORDER USE 020-05-003-,NE BOLT DI,1/2-13 X 1 3/4
2489,02049406,"BOLT-HX CAP Z-PLT G# 5 3/8"" -16X 7/8"" 100/BOX",FRAN DAN,LA11536
2490,02049406,"BOLT-HX CAP Z-PLT G# 5 3/8"" -16X 7/8"" 100/BOX",NE BOLT DI,3/8-16 X 7/8
2491,02049407,BOLT - GRADE 5 100/PK,FRAN DAN,3/8-16X5/8
2492,02049407,BOLT - GRADE 5 100/PK,NE BOLT DI,3/8-16 X 5/8
2493,02049408,BOLT-HX CAP Z/PLT G# 5 5/16-18 X 1 100/BOX,ARNOLD IND,LA0222
2494,02049408,BOLT-HX CAP Z/PLT G# 5 5/16-18 X 1 100/BOX,FRAN DAN,LA11536
2495,02049408,BOLT-HX CAP Z/PLT G# 5 5/16-18 X 1 100/BOX,NE BOLT DI,5/16-18 X 1
2496,02049500,BOLT-HX CAP GRADE #8 Z-PLT-100 P/PKG.,ATLANTIC F,1/4 - 20 X 1/2
2497,02049501,"BOLT-HX CAP GRADE #8 Z-PLT 1/4-20X1"" 100 P/PKG",ATLANTIC F,1/4 - 20 X 1
2498,02049501,"BOLT-HX CAP GRADE #8 Z-PLT 1/4-20X1"" 100 P/PKG",GENERIC,LA11536
2499,02049502,BOLT-HX CAP 5/16-18 X 1/2 GRADE #8 Z-PLT (100 P/PKG),ATLANTIC F,5/16-18 X 1/2
2500,02049502,BOLT-HX CAP 5/16-18 X 1/2 GRADE #8 Z-PLT (100 P/PKG),GENERIC,LA11536
2501,02049503,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG-,ATLANTIC F,5/16-18 X 7/8
2502,02049503,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG-,GENERIC,LA11536
2503,02049504,"BOLT-HX CAP GRADE #8 5/16-18X1"" Z-PLT 100 P/PKG",ATLANTIC F,5/16 - 18 X 1
2504,02049504,"BOLT-HX CAP GRADE #8 5/16-18X1"" Z-PLT 100 P/PKG",GENERIC,LA11536
2505,02049505,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG.-,ATLANTIC F,5/16-18X2 1/4
2506,02049505,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG.-,GENERIC,LA11536
2507,02049506,BOLT-HX CAP GRADE #8 Z-PLT -100 P/PKG.-,ATLANTIC F,5/16 - 24 X 1
2508,02049506,BOLT-HX CAP GRADE #8 Z-PLT -100 P/PKG.-,ATLANTIC F,5/16 - 24 X 1
2509,02049506,BOLT-HX CAP GRADE #8 Z-PLT -100 P/PKG.-,GENERIC,LA11536
2510,02049506,BOLT-HX CAP GRADE #8 Z-PLT -100 P/PKG.-,GENERIC,LA11536
2511,02049507,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG.-,ATLANTIC F,3/8 - 16 X 1/2
2512,02049507,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG.-,GENERIC,LA11536
2513,02049508,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG -,ATLANTIC F,3/8 - 16 X 3/4
2514,02049508,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG -,GENERIC,LA11536
2515,02049509,"BOLT-HX CAP 3/8-16X 1-1/4"" GRADE #8 Z-PLT 100/BOX",ATLANTIC F,3/8-16X 1 1/4
2516,02049509,"BOLT-HX CAP 3/8-16X 1-1/4"" GRADE #8 Z-PLT 100/BOX",GENERIC,LA11536
2517,02049510,"BOLT-HX CAP 3/8-16X1-1/2"" GRADE 8 Z-PLT 100 P/PKG",ATLANTIC F,3/8-16 X 1 1/2
2518,02049510,"BOLT-HX CAP 3/8-16X1-1/2"" GRADE 8 Z-PLT 100 P/PKG",GENERIC,LA11536
2519,02049511,BOLT-HX CAP GRADE#8 Z-PLT - 100 P/PKG-,ATLANTIC F,3/8 - 16 X2
2520,02049511,BOLT-HX CAP GRADE#8 Z-PLT - 100 P/PKG-,GENERIC,LA11536
2521,02049513,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG -,ATLANTIC F,7/16 - 14 X 1
2522,02049513,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG -,GENERIC,LA11536
2523,02049515,BOLT-HX CAP GRADE #8 Z-PLT- 100 P/PKG,ATLANTIC F,1/2 - 13 X 1
2524,02049515,BOLT-HX CAP GRADE #8 Z-PLT- 100 P/PKG,GENERIC,LA11536
2525,02049516,BOLT-HX CAP GRADE#8 Z-PLT - 100 P/PKG,ATLANTIC F,1/2 - 13 X 2
2526,02049517,IWIT-HX CAP GRADE #8 Z-PLT - 100 P/PKG,ATLANTIC F,1/2-13 X2 1/4
2527,02049518,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG,ATLANTIC F,1/2 -13 X 4
2528,02049518,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG,ATLANTIC F,1/2 -13 X 4
2529,02049519,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG,ATLANTIC F,1/2-20 X1 1/2
2530,02049520,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG,ATLANTIC F,5/8 -11 X 2
2531,02049520,BOLT-HX CAP GRADE #8 Z-PLT - 100 P/PKG,GENERIC,LA11536
2532,02049521,BOLT-HX CAP GRADE #8 Z-PLT - 20/PK,ATLANTIC F,3/4 - 16 X 4 1
2533,02049522,BOLT-HX CAP G#8 Z-PL T - 100 P/PKG.-,ATLANTIC F,1/2-13 X2 1/2
2534,02049523,BOLT GRADE 8 FOR SUP PORT FAN MOUNTING 50PK,ATLANTIC F,"7/16""X2 3/4""X1"
2535,02049600,NUT-HEX GRADE #8 Z-PLT 1/4-20 100 P/PKG,ATLANTIC F,1/4 - 20
2536,02049600,NUT-HEX GRADE #8 Z-PLT 1/4-20 100 P/PKG,GENERIC,LA11536
2537,02049601,NUT-HEX 5/16-18 GRADE #8 Z-PLT 100/BOX,ATLANTIC F,5/16 - 18
2538,02049601,NUT-HEX 5/16-18 GRADE #8 Z-PLT 100/BOX,GENERIC,LA11536
2539,02049602,NUT-HEX 3/8-16 GRADE #8 ZINC PLT 100 P/PKG,ATLANTIC F,3/8 -16
2540,02049602,NUT-HEX 3/8-16 GRADE #8 ZINC PLT 100 P/PKG,GENERIC,LA11536
2541,02049603,NUT-HEX GRADE #8 Z-P LT - 100 P/PKG,ATLANTIC F,3/8 - 24
2542,02049603,NUT-HEX GRADE #8 Z-P LT - 100 P/PKG,GENERIC,LA11536
2543,02049604,"NUT-HEX 7/16"" -14 GRADE #8 Z-PLT 100 P/PKG",ATLANTIC F,7/16 - 14
2544,02049604,"NUT-HEX 7/16"" -14 GRADE #8 Z-PLT 100 P/PKG",GENERIC,LA11536
2545,02049605,NUT-HEX GRADE #8 Z-P LT - 100 P/PKG,ATLANTIC F,7/16 - 20
2546,02049605,NUT-HEX GRADE #8 Z-P LT - 100 P/PKG,GENERIC,LA11536
2547,02050001,BOLT HX CAP G#8 5/16 -18 X 1-1/4 100/BX,FRAN DAN C,5/16-18X1-1/4
2548,02050001,BOLT HX CAP G#8 5/16 -18 X 1-1/4 100/BX,GENERIC,LA11536
2549,02050002,BOLT HX CAP G#8 3/8- 16 X 2-3/4 50/BX,FRAN DAN C,3/8X16X2 3/4
2550,02050002,BOLT HX CAP G#8 3/8- 16 X 2-3/4 50/BX,GENERIC,LA11536
2551,02050086,SCREWS-SQ HD SET USS OVAL POINT - 100 P/PKG -,FRAN DAN,LA0251
2552,02050086,SCREWS-SQ HD SET USS OVAL POINT - 100 P/PKG -,GENERIC,5/8X2
2553,02050145,SCREW SET-FINE THREAD SQ HD CUP POINT 5/16X3/4 100 P/PKG,THRD PRO,5/16X3/4
2554,02051001,"SCREWS SOCKET HEAD SET CUP POINT1/4"" X1/4"" 100/PK",FRAN DAN,LA0251
2555,02051001,"SCREWS SOCKET HEAD SET CUP POINT1/4"" X1/4"" 100/PK",GENERIC,1/4X1/4
2556,02051001,"SCREWS SOCKET HEAD SET CUP POINT1/4"" X1/4"" 100/PK",GENERIC,100 PER BOX
2557,02051002,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG -,FRAN-DAN,LA0251
2558,02051002,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG -,GENERIC,1/4X3/8
2559,02051002,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG -,FRAN-DAN,LA0251
2560,02051002,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG -,GENERIC,1/4X3/8
2561,02051003,SCREWS SOCKET HEAD SET CUP POINT - 100IN X 1/2 IN,FRAN DAN,LA0251
2562,02051003,SCREWS SOCKET HEAD SET CUP POINT - 100IN X 1/2 IN,GENERIC,1/4X1/2
2563,02051003,SCREWS SOCKET HEAD SET CUP POINT - 100IN X 1/2 IN,GENERIC,100 PER BOX
2564,02051004,SCREWS SOCKET HEAD SET CUP POINT - 100 P/PKG -,FRAN DAN,LA0251
2565,02051004,SCREWS SOCKET HEAD SET CUP POINT - 100 P/PKG -,GENERIC,5/16 X 3/8
2566,02051004,SCREWS SOCKET HEAD SET CUP POINT - 100 P/PKG -,LEHIGH,100 PER BOX
2567,02051005,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG. -,FRAN DAN,LA0251
2568,02051005,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG. -,GENERIC,5/16X1/2
2569,02051005,SCREWS-ALLEN SAFETY SET CUP POINT - 100 P/PKG. -,LEHIGH,100 PER BOX
2570,02051006,SCREW - ALLEN SAFETY SET - CUP POINT - 100 P/PKG -,FRAN DAN,LA0251
2571,02051006,SCREW - ALLEN SAFETY SET - CUP POINT - 100 P/PKG -,GENERIC,3/8X3/8
2572,02051007,SCREWS SOCKET HEAD SET CUP POINT 3/8X1/2IN100/PK,DURATITE,3/8 X 1/2
2573,02051007,SCREWS SOCKET HEAD SET CUP POINT 3/8X1/2IN100/PK,GENERIC,3/8 X 1/2
2574,02051007,SCREWS SOCKET HEAD SET CUP POINT 3/8X1/2IN100/PK,LEHIGH,100 PER BOX
2575,02051016,SCREWS-SOCKET HD. CU P POINT ALLEN-100 P/PKG.,ARMSTRONG,1/4X8/32
2576,02051016,SCREWS-SOCKET HD. CU P POINT ALLEN-100 P/PKG.,DURATITE,LA0477
2577,02051016,SCREWS-SOCKET HD. CU P POINT ALLEN-100 P/PKG.,GENERIC,100 PER BOX
2578,02051019,SCREW- SOCKET HEAD C UP POINT ALLEN - 100 P/PKG.,ADVANCE,LA0339
2579,02051019,SCREW- SOCKET HEAD C UP POINT ALLEN - 100 P/PKG.,GENERIC,100 PER BOX
2580,02051019,SCREW- SOCKET HEAD C UP POINT ALLEN - 100 P/PKG.,GENERIC,1/4X10/32
2581,02051019,SCREW- SOCKET HEAD C UP POINT ALLEN - 100 P/PKG.,ADVANCE,LA0339
2582,02051019,SCREW- SOCKET HEAD C UP POINT ALLEN - 100 P/PKG.,GENERIC,100 PER BOX
2583,02051019,SCREW- SOCKET HEAD C UP POINT ALLEN - 100 P/PKG.,GENERIC,1/4X10/32
2584,02051021,"SCREW-SET CUP POINT 6/32"" X1/4"" 100 P/PKG",ADVANCE,LA0339
2585,02051021,"SCREW-SET CUP POINT 6/32"" X1/4"" 100 P/PKG",GENERIC,100 PER BOX
2586,02051021,"SCREW-SET CUP POINT 6/32"" X1/4"" 100 P/PKG",GENERIC,6/32X1/4
2587,02051023,SCREW - PAN HEAD TAP PING 1/4-14 X 3/4 RTS 100/BX,UNIVERSAL,9428210
2588,02051024,"5/16-18X1"" PAN HD MA CHINE SCREW FULL-THD B S/S",GENERIC,LA11536
2589,02051024,"5/16-18X1"" PAN HD MA CHINE SCREW FULL-THD B S/S",UNIVERSAL,9438178
2590,02051026,SCREWS-ALLEN SOCKET HD CAP - 100 P/PKG -,1/4-20X3/4,LEHIGH
2591,02051026,SCREWS-ALLEN SOCKET HD CAP - 100 P/PKG -,FRAN DAN,LA0251
2592,02051026,SCREWS-ALLEN SOCKET HD CAP - 100 P/PKG -,LAWSON,1/4-20X3/4
2593,02051028,SCREW - ALLEN SOCKET CAP - 100 P/PKG -,GENERIC,100 PER BOX
2594,02051028,SCREW - ALLEN SOCKET CAP - 100 P/PKG -,GENERIC,1/4-28X1/4
2595,02051029,SCREW - ALLEN SOCKET CAP - 100 P/PKG -,GENERIC,100 PER BOX
2596,02051029,SCREW - ALLEN SOCKET CAP - 100 P/PKG -,GENERIC,5/16 - 18 X 1
2597,02051031,"SCREW-ALLEN SOCKET CAP 3/8-16X7/8"" 100 P/PKG",GENERIC,3/8-16X7/8
2598,02051031,"SCREW-ALLEN SOCKET CAP 3/8-16X7/8"" 100 P/PKG",GENERIC,3/8-16X7/8
2599,02051031,"SCREW-ALLEN SOCKET CAP 3/8-16X7/8"" 100 P/PKG",LEHIGH,3/8 -16X7/8
2600,02051031,"SCREW-ALLEN SOCKET CAP 3/8-16X7/8"" 100 P/PKG",LEHIGH,3/8 -16X7/8
2601,02051032,BOLT-SOCKET HEAD CAP GR 8 5/16-18 X 1-1/4 100/BOX,GENERIC,5/16-18 X1-1/4 GR 8
2602,02051032,BOLT-SOCKET HEAD CAP GR 8 5/16-18 X 1-1/4 100/BOX,GENERIC,5/16-18 X1-1/4
2603,02051032,BOLT-SOCKET HEAD CAP GR 8 5/16-18 X 1-1/4 100/BOX,GENERIC,100 PER BOX
2604,02051033,SCREW - SET ALLEN HE AD - 100 P/PKG-,GENERIC,1/2X10/32
2605,02051033,SCREW - SET ALLEN HE AD - 100 P/PKG-,GENERIC,100 PER BOX
2606,02051034,SCREW-USE 034-96-327 CAP - 100 P/PKG -,FRAN DAN,1/4-20X5/8
2607,02051034,SCREW-USE 034-96-327 CAP - 100 P/PKG -,GENERIC,100 PER BOX
2608,02051035,"SCREW-CAP, ALLEN SOCKET HD 1/4-20X7/8 - 100 P/PKG -",GENERIC,1/4-20X7/8
2609,02051035,"SCREW-CAP, ALLEN SOCKET HD 1/4-20X7/8 - 100 P/PKG -",GENERIC,100 PER BOX
2610,02051036,SCREW-ALLEN SOCKET HEAD CAP - 100 P/PKG. -,FRAN DAN,1/4-20X1
2611,02051036,SCREW-ALLEN SOCKET HEAD CAP - 100 P/PKG. -,FRAN DAN,LA0251
2612,02051036,SCREW-ALLEN SOCKET HEAD CAP - 100 P/PKG. -,FRAN DAN,1/4-20X1
2613,02051036,SCREW-ALLEN SOCKET HEAD CAP - 100 P/PKG. -,FRAN DAN,LA0251
2614,02051036,SCREW-ALLEN SOCKET HEAD CAP - 100 P/PKG. -,GENERIC,100 PER BOX
2615,02051036,SCREW-ALLEN SOCKET HEAD CAP - 100 P/PKG. -,GENERIC,100 PER BOX
2616,02051037,"BOLT-SOCKET HEAD CAP 3/8-16X 1-3/4"" 100/BOX",FRAN DAN,LA0251
2617,02051037,"BOLT-SOCKET HEAD CAP 3/8-16X 1-3/4"" 100/BOX",GENERIC,LA11536
2618,02051037,"BOLT-SOCKET HEAD CAP 3/8-16X 1-3/4"" 100/BOX",H.D.CHASEN,3/8-16X1 3/4
2619,02051038,BOLT-SOCKET HEAD CAP,ALLIED BOL,"7/8-9 X2"""
2620,02051038,BOLT-SOCKET HEAD CAP,ALLIED BOL,"7/8-9 X2"""
2621,02051040,BOLT-SOCKET HEAD CAP 3/8-16 X 1 1/4 100/BOX,FRAN DAN C,3/8-16 X 1 1/4
2622,02051040,BOLT-SOCKET HEAD CAP 3/8-16 X 1 1/4 100/BOX,GENERIC,LA11536
2623,02051050,"SCREW-SH.MTL.TYP A(T AP) RND,ZNC,PHL,100/ #6X3/8",F DAN,LA0251
2624,02051050,"SCREW-SH.MTL.TYP A(T AP) RND,ZNC,PHL,100/ #6X3/8",GENERIC,LA11536
2625,02051050,"SCREW-SH.MTL.TYP A(T AP) RND,ZNC,PHL,100/ #6X3/8",GENERIC,3/8-NO-6
2626,02051050,"SCREW-SH.MTL.TYP A(T AP) RND,ZNC,PHL,100/ #6X3/8",GENERIC,100 PER BOX
2627,02051051,SCREW-SH.MTL.TYPA (T AP) FLT HD ZNC 100/(PHL)#6X3/8,FRAN DAN,LA0319
2628,02051051,SCREW-SH.MTL.TYPA (T AP) FLT HD ZNC 100/(PHL)#6X3/8,GENERIC,3/8-NO-6 TYPE
2629,02051051,SCREW-SH.MTL.TYPA (T AP) FLT HD ZNC 100/(PHL)#6X3/8,GENERIC,100 PER BOX
2630,02051051,SCREW-SH.MTL.TYPA (T AP) FLT HD ZNC 100/(PHL)#6X3/8,FRAN DAN,LA0319
2631,02051051,SCREW-SH.MTL.TYPA (T AP) FLT HD ZNC 100/(PHL)#6X3/8,GENERIC,100 PER BOX
2632,02051051,SCREW-SH.MTL.TYPA (T AP) FLT HD ZNC 100/(PHL)#6X3/8,GENERIC,3/8-NO-6 TYPE
2633,02051054,"SCREW-SM,TYP A (TAP) ,PAN,ZNC,PHL,100/ #7X1/2",FRAN DAN,LA0251
2634,02051054,"SCREW-SM,TYP A (TAP) ,PAN,ZNC,PHL,100/ #7X1/2",GENERIC,1/2-NO-7
2635,02051054,"SCREW-SM,TYP A (TAP) ,PAN,ZNC,PHL,100/ #7X1/2",GENERIC,LA11536
2636,02051054,"SCREW-SM,TYP A (TAP) ,PAN,ZNC,PHL,10",RIBSCO,100 PER BOX
2637,02051055,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X3/4",FRAN DAN,LA0251
2638,02051055,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X3/4",GENERIC,100 PER BOX
2639,02051055,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X3/4",GENERIC,3/4-NO-10
2640,02051055,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X3/4",GENERIC,LA11536
2641,02051056,"SCREW-SH.MTL.TYP A ( TAP)RND,ZNC,PHL,100/ #8X1",FRAN DAN,LA0251
2642,02051056,"SCREW-SH.MTL.TYP A ( TAP)RND,ZNC,PHL,100/ #8X1",GENERIC,1 NO. 8
2643,02051056,"SCREW-SH.MTL.TYP A ( TAP)RND,ZNC,PHL,100/ #8X1",GENERIC,100 PER BOX
2644,02051056,"SCREW-SH.MTL.TYP A ( TAP)RND,ZNC,PHL,100/ #8X1",GENERIC,LA11536
2645,02051057,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X1-1/4",FRAN DAN,LA0293
2646,02051057,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X1-1/4",GENERIC,100 PER BOX
2647,02051057,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X1-1/4",GENERIC,1-1/4-NO-10
2648,02051057,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #10X1-1/4",GENERIC,LA11536
2649,02051058,"SCREW-SH.MTL.TYP A (TAP)RND, PHL, #12X1-1/4 ZNC 100/BX",FRAN DAN,LA0251
2650,02051058,"SCREW-SH.MTL.TYP A (TAP)RND, PHL, #12X1-1/4 ZNC 100/BX",GENERIC,LA11536
2651,02051058,"SCREW-SH.MTL.TYP A (TAP)RND, PHL, #12X1-1/4 ZNC 100/BX",GENERIC,1-1/4-NO-12
2652,02051058,"SCREW-SH.MTL.TYP A (TAP)RND, PHL, #12X1-1/4 ZNC 100/BX",GENERIC,100 PER BOX
2653,02051061,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #7X3/4P/PK",FRAN DAN,LA0251
2654,02051061,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #7X3/4P/PK",GENERIC,LA11536
2655,02051061,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #7X3/4P/PK",GENERIC,3/4-NO-7
2656,02051061,"SCREW-SH.MTL.TYP A(T AP)RND,ZNC,PHL,100/ #7X3/4P/PK",GENERIC,100 PER BOX
2657,02051062,"SCREW-SH.MTL.TYP A(TAP)RND,ZNC,PHL,#14X3/4"" 100/BX",F.DAN,LA0251
2658,02051062,"SCREW-SH.MTL.TYP A(TAP)RND,ZNC,PHL,#14X3/4"" 100/BX",GENERIC,3/4 NO 14---
2659,02051062,"SCREW-SH.MTL.TYP A(TAP)RND,ZNC,PHL,#14X3/4"" 100/BX",GENERIC,100 PER BOX
2660,02051062,"SCREW-SH.MTL.TYP A(TAP)RND,ZNC,PHL,#14X3/4"" 100/BX",GENERIC,LA11536
2661,02051063,"SCRW-SM,TYP A(TAP),P AN,ZNC,PHL,100/ #6X5/8NO",FRAN DAN,00000000000000
